Intrusion_ID,Location_ID,Location_of_Breached_Information_Desktop Computer,Location_of_Breached_Information_Laptop,Location_of_Breached_Information_Network Server,Location_of_Breached_Information_Other,Location_of_Breached_Information_Other Portable Electronic Device,Location_of_Breached_Information_Paper,Type_ID
622,453,0,1,0,0,0,0,453
623,454,1,0,0,0,0,0,454
624,455,0,0,0,0,1,0,455
625,456,1,0,0,0,0,0,456
627,457,0,0,0,0,0,1,457
629,458,1,0,0,0,0,0,458
630,459,1,0,0,0,0,0,459
631,460,0,0,0,0,0,1,460
632,461,0,0,0,0,0,1,461
633,462,0,0,0,0,0,1,462
634,463,0,1,0,0,0,0,463
636,464,0,0,0,1,0,0,464
637,465,0,0,0,0,0,1,465
638,466,0,0,0,1,0,0,466
639,467,0,1,0,0,0,0,467
640,468,0,1,0,0,0,0,468
642,469,0,1,0,0,0,0,469
643,470,0,0,1,0,0,0,470
644,471,0,1,0,0,0,0,471
645,472,1,0,0,0,0,0,472
646,473,0,0,0,0,0,1,473
647,474,1,0,0,0,0,0,474
648,475,0,0,1,0,0,0,475
649,476,0,0,0,0,0,1,476
650,477,0,0,0,0,0,1,477
651,478,0,0,0,0,0,1,478
652,479,0,1,0,0,0,0,479
653,480,0,0,1,0,0,0,480
654,481,0,1,0,0,0,0,481
655,482,0,0,1,0,0,0,482
656,483,0,1,0,0,0,0,483
657,484,0,1,0,0,0,0,484
658,485,0,1,0,0,0,0,485
659,486,0,0,0,1,0,0,486
661,487,0,0,0,0,0,1,487
662,488,0,1,0,0,0,0,488
663,489,0,0,0,0,0,1,489
664,490,1,0,0,0,0,0,490
665,491,0,0,0,0,0,1,491
666,492,1,0,0,0,0,0,492
667,493,0,1,0,0,0,0,493
668,494,1,0,0,0,0,0,494
669,495,0,1,0,0,0,0,495
670,496,0,1,0,0,0,0,496
671,497,0,1,0,0,0,0,497
673,498,0,0,0,1,0,0,498
674,499,0,0,0,0,0,1,499
675,500,0,1,0,0,0,0,500
676,501,0,0,0,0,1,0,501
677,502,0,1,0,0,0,0,502
678,503,0,1,0,0,0,0,503
679,504,0,0,0,0,0,1,504
680,505,0,1,0,0,0,0,505
681,506,0,0,1,0,0,0,506
682,507,0,0,0,0,0,1,507
683,508,1,0,0,0,0,0,508
684,509,0,1,0,0,0,0,509
685,510,1,0,0,0,0,0,510
686,511,0,0,0,0,0,1,511
687,512,0,1,0,0,0,0,512
688,513,0,0,0,0,0,1,513
689,514,0,0,0,0,1,0,514
690,515,0,0,0,1,0,0,515
692,516,0,0,0,0,0,1,516
694,517,0,1,0,0,0,0,517
695,518,0,0,0,0,1,0,518
696,519,1,0,0,0,0,0,519
697,520,0,0,1,0,0,0,520
698,521,0,1,0,0,0,0,521
699,522,0,1,0,0,0,0,522
700,523,0,0,1,0,0,0,523
706,524,0,0,1,0,0,0,524
707,525,0,1,0,0,0,0,525
709,526,0,0,0,0,0,1,526
711,527,0,1,0,0,0,0,527
712,528,0,0,0,0,0,1,528
716,529,0,0,1,0,0,0,529
718,530,0,0,0,0,0,1,530
719,531,0,0,0,0,0,1,531
720,532,0,1,0,0,0,0,532
721,533,0,0,0,0,0,1,533
722,534,0,1,0,0,0,0,534
723,535,0,0,0,1,0,0,535
724,536,1,0,0,0,0,0,536
726,537,0,0,0,1,0,0,537
727,538,1,0,0,0,0,0,538
728,539,0,0,0,0,0,1,539
730,540,1,0,0,0,0,0,540
731,541,0,0,0,0,1,0,541
732,542,0,0,0,1,0,0,542
733,543,0,0,0,0,1,0,543
734,544,0,0,0,0,1,0,544
735,545,0,0,0,0,0,1,545
736,546,0,0,0,0,0,1,546
738,547,0,0,1,0,0,0,547
739,548,1,0,0,0,0,0,548
740,549,0,0,1,0,0,0,549
741,550,0,1,0,0,0,0,550
743,551,0,1,0,0,0,0,551
744,552,0,0,1,0,0,0,552
745,553,0,0,0,1,0,0,553
746,554,1,0,0,0,0,0,554
748,555,0,1,0,0,0,0,555
749,556,0,1,0,0,0,0,556
750,557,0,0,0,1,0,0,557
753,558,1,0,0,0,0,0,558
754,559,1,0,0,0,0,0,559
755,560,0,1,0,0,0,0,560
756,561,0,0,0,0,0,1,561
757,562,0,0,0,0,0,1,562
760,563,0,0,0,0,0,1,563
762,564,0,0,0,0,1,0,564
763,565,0,1,0,0,0,0,565
764,566,0,1,0,0,0,0,566
765,567,0,0,0,0,0,1,567
766,568,0,0,0,0,0,1,568
767,569,0,0,0,0,0,1,569
768,570,0,1,0,0,0,0,570
769,571,0,0,0,0,0,1,571
772,572,0,0,0,0,0,1,572
773,573,0,0,0,0,0,1,573
774,574,0,0,0,0,0,1,574
775,575,0,0,0,1,0,0,575
777,576,1,0,0,0,0,0,576
778,577,0,0,0,1,0,0,577
779,578,1,0,0,0,0,0,578
781,579,1,0,0,0,0,0,579
782,580,0,0,0,0,1,0,580
783,581,1,0,0,0,0,0,581
784,582,0,0,0,1,0,0,582
786,583,0,1,0,0,0,0,583
787,584,0,1,0,0,0,0,584
788,585,0,0,0,0,1,0,585
789,586,0,0,1,0,0,0,586
790,587,0,1,0,0,0,0,587
792,588,0,0,0,1,0,0,588
793,589,0,0,0,0,0,1,589
794,590,0,1,0,0,0,0,590
795,591,0,0,0,0,0,1,591
798,592,0,0,0,0,0,1,592
799,593,1,0,0,0,0,0,593
800,594,1,0,0,0,0,0,594
802,595,0,0,1,0,0,0,595
805,596,0,1,0,0,0,0,596
808,597,0,1,0,0,0,0,597
809,598,0,0,0,1,0,0,598
810,599,0,0,1,0,0,0,599
811,600,0,0,0,1,0,0,600
812,601,0,0,0,1,0,0,601
813,602,0,0,1,0,0,0,602
814,603,0,0,1,0,0,0,603
815,604,0,0,1,0,0,0,604
818,605,0,0,0,0,0,1,605
821,606,0,1,0,0,0,0,606
822,607,0,1,0,0,0,0,607
823,608,0,1,0,0,0,0,608
824,609,0,0,1,0,0,0,609
825,610,0,1,0,0,0,0,610
826,611,0,1,0,0,0,0,611
831,612,0,0,0,0,0,1,612
832,613,0,1,0,0,0,0,613
834,614,0,0,0,0,0,1,614
835,615,0,0,0,0,0,1,615
837,616,0,0,1,0,0,0,616
838,617,0,0,1,0,0,0,617
839,618,0,1,0,0,0,0,618
840,619,0,0,0,0,0,1,619
842,620,0,1,0,0,0,0,620
844,621,1,0,0,0,0,0,621
846,622,0,0,0,0,1,0,622
847,623,1,0,0,0,0,0,623
848,624,0,1,0,0,0,0,624
849,625,0,0,1,0,0,0,625
850,626,0,0,1,0,0,0,626
852,627,0,1,0,0,0,0,627
853,628,0,1,0,0,0,0,628
854,629,0,1,0,0,0,0,629
855,630,1,0,0,0,0,0,630
856,631,0,0,0,0,0,1,631
857,632,0,1,0,0,0,0,632
858,633,0,0,1,0,0,0,633
859,634,0,1,0,0,0,0,634
860,635,0,0,0,0,0,1,635
861,636,0,0,0,0,1,0,636
863,637,0,1,0,0,0,0,637
865,638,0,0,0,0,0,1,638
866,639,0,0,0,1,0,0,639
867,640,0,0,0,0,0,1,640
868,641,0,0,0,0,0,1,641
869,642,0,0,0,1,0,0,642
872,643,0,0,0,1,0,0,643
873,644,0,0,0,0,1,0,644
874,645,0,1,0,0,0,0,645
875,646,0,1,0,0,0,0,646
876,647,0,1,0,0,0,0,647
877,648,0,0,0,0,1,0,648
878,649,0,0,0,0,1,0,649
879,650,0,0,0,0,1,0,650
880,651,1,0,0,0,0,0,651
881,652,0,1,0,0,0,0,652
883,653,1,0,0,0,0,0,653
884,654,0,0,1,0,0,0,654
887,655,1,0,0,0,0,0,655
888,656,0,1,0,0,0,0,656
889,657,0,0,0,0,0,1,657
890,658,0,0,0,1,0,0,658
891,659,1,0,0,0,0,0,659
892,660,0,1,0,0,0,0,660
893,661,0,0,0,0,1,0,661
894,662,0,0,1,0,0,0,662
896,663,0,0,0,0,1,0,663
897,664,0,0,1,0,0,0,664
898,665,0,0,1,0,0,0,665
900,666,0,1,0,0,0,0,666
901,667,0,1,0,0,0,0,667
902,668,0,0,0,0,0,1,668
903,669,0,0,0,0,0,1,669
904,670,1,0,0,0,0,0,670
906,671,0,0,0,0,0,1,671
907,672,1,0,0,0,0,0,672
908,673,0,1,0,0,0,0,673
910,674,0,1,0,0,0,0,674
911,675,1,0,0,0,0,0,675
913,676,0,0,0,0,0,1,676
914,677,0,0,0,1,0,0,677
